[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 110, IP: 192.168.0.6
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.7
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 53, IP: 192.168.0.7
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 445, IP: 192.168.0.6
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 22, IP: 192.168.0.7
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 20, IP: 192.168.0.7
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 22, IP: 192.168.0.3
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.2
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 3389, IP: 192.168.0.6
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 443, IP: 192.168.0.2
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 21, IP: 192.168.0.7
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 25, IP: 192.168.0.4
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 21, IP: 192.168.0.3
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.5
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 143, IP: 192.168.0.2
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.4
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 21, IP: 192.168.0.5
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 22, IP: 192.168.0.8
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 22, IP: 192.168.0.5
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 443, IP: 192.168.0.5
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 3389, IP: 192.168.0.8
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 22, IP: 192.168.0.9
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 110, IP: 192.168.0.8
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.8
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 21, IP: 192.168.0.8
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 143, IP: 192.168.0.8
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 110, IP: 192.168.0.9
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 443, IP: 192.168.0.10
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 20, IP: 192.168.0.10
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 3389, IP: 192.168.0.9
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 445, IP: 192.168.0.8
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 21, IP: 192.168.0.9
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 443, IP: 192.168.0.9
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 20, IP: 192.168.0.8
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 53, IP: 192.168.0.10
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 53, IP: 192.168.0.9
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.10
[10/1/2023 12:16:34 PM] - [Information] - ScanTcp: Porta não encontrada: 143, IP: 192.168.0.10
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 21, IP: 192.168.0.10
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 110, IP: 192.168.0.12
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 143, IP: 192.168.0.11
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 53, IP: 192.168.0.11
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.11
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 3389, IP: 192.168.0.11
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 22, IP: 192.168.0.11
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 110, IP: 192.168.0.11
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 445, IP: 192.168.0.11
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 25, IP: 192.168.0.11
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 22, IP: 192.168.0.12
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 3389, IP: 192.168.0.12
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.12
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 22, IP: 192.168.0.13
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 443, IP: 192.168.0.12
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 20, IP: 192.168.0.12
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 53, IP: 192.168.0.12
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 25, IP: 192.168.0.13
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 25, IP: 192.168.0.12
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 21, IP: 192.168.0.13
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 110, IP: 192.168.0.13
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 143, IP: 192.168.0.12
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 20, IP: 192.168.0.13
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.13
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 143, IP: 192.168.0.13
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 53, IP: 192.168.0.13
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 21, IP: 192.168.0.11
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 445, IP: 192.168.0.13
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 25, IP: 192.168.0.10
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 445, IP: 192.168.0.7
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 3389, IP: 192.168.0.13
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 110, IP: 192.168.0.7
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 143, IP: 192.168.0.7
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 3389, IP: 192.168.0.7
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 443, IP: 192.168.0.8
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.9
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 53, IP: 192.168.0.8
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 20, IP: 192.168.0.9
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 445, IP: 192.168.0.9
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 143, IP: 192.168.0.9
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 22, IP: 192.168.0.10
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 20, IP: 192.168.0.11
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 25, IP: 192.168.0.8
[10/1/2023 12:16:35 PM] - [Information] - ScanTcp: Porta não encontrada: 110, IP: 192.168.0.14
