[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.6
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.6
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.7
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.0
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.6
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.0
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.0
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.2
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.6
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.2
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.2
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.2
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.2
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.0
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.0
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.6
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.2
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.2
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.0
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.3
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.2
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.3
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.0
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.3
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.7
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.3
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.3
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.3
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.4
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.4
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.4
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.4
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.0
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.7
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.4
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.4
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.7
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.7
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.4
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.4
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.3
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.7
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.7
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.5
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.5
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.8
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.8
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.5
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.5
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.8
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.5
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.6
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.5
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.5
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.5
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.3
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.4
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.0
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.1
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.5
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.7
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.8
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.2
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.2
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.3
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.8
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.7
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.3
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.6
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.2
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.4
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.4
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.8
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.8
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.17
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.11
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.7
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.8
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.8
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.9
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.12
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.9
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.5
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.9
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.8
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.9
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.12
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.9
[02/11/2023 12:39:29] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.9
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.9
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.12
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.12
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.8
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.9
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.9
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.11
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.5
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.12
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.10
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.3
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.12
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.10
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.12
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.10
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.10
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.10
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.9
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.10
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.12
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.10
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.10
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.13
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.13
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.11
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.11
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.11
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.13
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.11
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.10
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.13
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.13
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.13
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.11
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.11
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.11
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.13
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.12
[02/11/2023 12:39:30] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.11
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.11
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.13
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.12
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.9
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.10
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.13
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.14
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.14
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.10
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.14
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.13
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.14
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.14
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.14
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.14
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.15
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.14
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.14
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.15
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.15
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.15
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.15
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.15
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.12
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.15
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.15
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.14
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.15
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.15
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.15
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.16
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.16
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.14
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.16
[02/11/2023 12:39:31] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.16
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.13
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.16
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.16
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.16
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.16
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.16
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.17
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.16
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.17
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.17
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.18
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.18
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.17
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.23
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.18
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.19
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.19
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.17
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.16
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.19
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.25
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.20
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.24
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.24
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.19
[02/11/2023 12:39:32] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.20
